时间(s)	位移(mm)	轴向力1(N)	扭转力1(N.m)	气压(MPa)	轴向力2(N)	扭转力2(N.m)	轴向力3(N)	扭转力3(N.m)	
0.10020	2.39161	-0.38276	-0.01886	-0.00039	-0.80966	0.24078	0.51365	-0.00851	
0.20000	7.45750	-0.38814	-0.00881	-0.00054	-0.81513	0.42745	0.54176	-0.01028	
0.29980	15.30288	-0.35105	-0.00515	-0.00036	-0.82877	0.67015	0.49730	-0.00354	
0.39960	25.73282	-0.36808	-0.01532	-0.00056	-0.83452	0.91800	0.52064	0.00270	
0.49940	38.48954	-0.36523	-0.01281	-0.00047	-0.76046	1.16040	0.58481	-0.00111	
0.59920	53.25891	-0.29932	0.00702	-0.00047	-0.74363	1.44532	0.56417	-0.01073	
0.69900	69.68362	-0.30211	0.00976	-0.00031	-0.82444	1.77838	0.48135	-0.01185	
0.79880	87.35653	-0.37048	-0.01190	-0.00057	-0.89826	2.12401	0.47286	0.00117	
0.89860	105.84420	-0.40242	-0.02234	-0.00078	-0.84596	2.42753	0.52850	0.00236	
0.99840	124.68950	-0.33978	-0.00819	-0.00085	-0.76704	2.69640	0.53525	-0.00840	
1.09820	143.43300	-0.29498	0.00552	-0.00081	-0.79459	2.99709	0.51967	-0.00516	
1.29800	178.72770	-0.35954	-0.01648	-0.00095	-0.83280	3.52128	0.47352	-0.00277	
1.39780	194.62900	-0.35409	-0.01797	-0.00080	-0.79557	3.72124	0.53899	-0.00925	
1.49760	208.46130	-0.32681	-0.00758	-0.00069	-0.84492	3.90101	0.49581	-0.01012	
1.59740	220.22510	-0.29765	-0.00655	-0.00076	-0.91956	4.07066	0.48001	-0.00261	
1.69720	229.54090	-0.33496	-0.01625	-0.00088	-0.86883	4.15347	0.49329	0.00275	
1.79700	236.16560	-0.32964	-0.01062	-0.00066	-0.86049	4.14697	0.54501	-0.00258	
1.89680	240.08060	-0.30411	0.00929	-0.00062	-0.82966	4.11797	0.55600	-0.01217	
1.99660	240.75070	-0.34738	0.00766	-0.00050	-0.86678	4.04837	0.45621	-0.01097	
2.09640	236.55810	-0.40119	-0.01523	-0.00036	-0.91937	3.78275	0.43431	0.00244	
2.29600	211.11130	-0.35241	-0.00513	-0.00059	-0.77006	2.59248	0.50133	-0.00980	
2.39600	190.41190	-0.32899	0.00598	-0.00041	-0.80249	1.97497	0.46189	-0.00286	
2.49580	165.03760	-0.32743	-0.00333	-0.00050	-0.87861	1.40210	0.43210	0.00516	
2.59560	135.60760	-0.36277	-0.01741	-0.00043	-0.87154	0.82715	0.47402	-0.00425	
2.69540	102.84110	-0.33849	-0.01655	-0.00048	-0.80780	0.32919	0.52293	-0.01026	
2.79520	67.55377	-0.33113	-0.00618	-0.00042	-0.84031	-0.06739	0.46649	-0.00915	
2.89500	30.59852	-0.36034	-0.00707	-0.00043	-0.88013	-0.37800	0.47566	-0.00098	
2.99480	-7.10845	-0.39130	-0.01681	-0.00023	-0.82000	-0.64982	0.48329	0.00283	
3.09460	-44.64131	-0.35348	-0.00765	-0.00045	-0.78094	-0.88150	0.53737	-0.00362	
3.29420	-115.54920	-0.33004	0.00487	-0.00041	-0.85034	-1.13994	0.47695	-0.00924	
3.39400	-147.17440	-0.36606	-0.01747	-0.00044	-0.88077	-1.20399	0.40207	0.00349	
3.49380	-175.19090	-0.36726	-0.02012	-0.00049	-0.84224	-1.30849	0.44234	-0.00042	
3.59380	-198.92440	-0.33727	-0.00304	-0.00038	-0.74987	-1.40750	0.48479	-0.01051	
3.69360	-217.77240	-0.32830	0.00586	-0.00047	-0.77562	-1.43020	0.50204	-0.00119	
3.79340	-231.29160	-0.36670	-0.00581	-0.00024	-0.86587	-1.42777	0.46887	0.00416	
3.89320	-239.12560	-0.39077	-0.01851	-0.00030	-0.81471	-1.45971	0.49799	-0.00504	
3.99300	-241.20280	-0.35401	-0.01562	-0.00060	-0.80320	-1.45053	0.52897	-0.01039	
4.09280	-237.07190	-0.32761	-0.00549	-0.00043	-0.82860	-1.34888	0.51343	-0.00822	
4.29240	-212.10280	-0.36367	-0.01699	-0.00062	-0.78640	-1.14067	0.50192	0.00218	
4.39220	-191.57440	-0.31503	-0.00512	-0.00047	-0.78206	-1.02630	0.52764	-0.00525	
4.49200	-166.36000	-0.28348	0.01218	-0.00044	-0.75699	-0.86458	0.49681	-0.01329	
4.59180	-137.05590	-0.29952	0.00248	-0.00056	-0.84861	-0.66269	0.47667	-0.00758	
4.69180	-104.40020	-0.34975	-0.01937	-0.00060	-0.89795	-0.46116	0.47495	0.00350	
4.79160	-69.17804	-0.33987	-0.01816	-0.00053	-0.83744	-0.27029	0.53889	-0.00238	
4.89140	-32.27138	-0.27763	-0.00049	-0.00063	-0.75065	0.03810	0.55366	-0.01034	
4.99120	5.43141	-0.26885	0.00535	-0.00058	-0.83959	0.58996	0.51487	0.00046	
5.09100	42.99935	-0.30297	-0.00754	-0.00057	-0.91149	1.19618	0.45235	0.00319	
5.29060	114.05570	-0.30969	-0.01378	-0.00065	-0.83150	2.33949	0.52096	-0.01081	
5.39040	145.81120	-0.30395	-0.00469	-0.00058	-0.88753	2.91972	0.50998	-0.00771	
5.49020	173.97800	-0.29625	-0.00969	-0.00051	-0.92044	3.44210	0.44543	0.00108	
5.59000	197.88770	-0.32463	-0.01684	-0.00068	-0.84865	3.85032	0.49886	0.00208	
5.68980	216.92720	-0.27996	-0.00248	-0.00061	-0.83214	4.14816	0.52006	-0.00679	
5.78980	230.64150	-0.23564	0.01265	-0.00047	-0.78891	4.34658	0.53938	-0.01387	
5.88960	238.71140	-0.29495	-0.00083	-0.00061	-0.85115	4.44774	0.50637	-0.00615	
5.98940	240.96860	-0.33775	-0.02075	-0.00041	-0.84915	4.39108	0.51182	0.00348	
6.08920	237.11120	-0.32907	-0.01659	-0.00070	-0.79985	4.01982	0.56646	-0.00413	
6.28880	212.54210	-0.28684	0.00485	-0.00061	-0.82097	2.89954	0.51999	0.00242	
6.38860	192.20110	-0.32800	-0.00970	-0.00047	-0.85933	2.24696	0.48764	0.00235	
6.48840	167.14320	-0.34225	-0.01936	-0.00024	-0.76226	1.59428	0.52397	-0.00696	
6.58820	137.99130	-0.29149	-0.01254	-0.00049	-0.75201	1.01849	0.53839	-0.01070	
6.68800	105.43630	-0.31144	-0.00456	-0.00050	-0.84120	0.53591	0.52309	-0.00635	
6.78780	70.30235	-0.35348	-0.01117	-0.00041	-0.83185	0.11058	0.52726	0.00147	
6.88760	33.43798	-0.35364	-0.01642	-0.00027	-0.75845	-0.26989	0.56527	0.00122	
6.98760	-4.23938	-0.31087	0.00027	-0.00051	-0.69031	-0.56447	0.56289	-0.00766	
7.08740	-41.81911	-0.29170	0.01267	-0.00042	-0.77318	-0.76851	0.50407	-0.01359	
7.28700	-113.01410	-0.35572	-0.02150	-0.00055	-0.89659	-1.05059	0.45557	0.00455	
7.38680	-144.88460	-0.33846	-0.01422	-0.00050	-0.81130	-1.20851	0.53209	-0.00525	
7.48660	-173.19350	-0.29488	0.00308	-0.00074	-0.74409	-1.32427	0.55133	-0.00932	
7.58640	-197.25940	-0.32483	0.00350	-0.00103	-0.83541	-1.36008	0.49969	0.00316	
7.68620	-216.48550	-0.37622	-0.01137	-0.00081	-0.86653	-1.40989	0.47515	0.00046	
7.78600	-230.41290	-0.38946	-0.01946	-0.00041	-0.80954	-1.44822	0.54521	-0.00791	
7.88580	-238.66890	-0.37822	-0.01125	-0.00032	-0.80585	-1.45879	0.56239	-0.01124	
7.98560	-241.17120	-0.35185	-0.00447	-0.00040	-0.94874	-1.42401	0.50880	-0.00567	
8.08540	-237.48880	-0.42051	-0.01254	-0.00052	-0.92143	-1.34930	0.53645	0.00228	
8.28520	-213.33450	-0.33060	0.00260	-0.00089	-0.79759	-1.17859	0.55043	-0.00887	
8.38500	-193.17930	-0.30108	0.01184	-0.00077	-0.84336	-1.02706	0.50353	-0.01336	
8.48480	-168.28640	-0.33804	-0.00627	-0.00085	-0.90587	-0.84409	0.48534	-0.00224	
8.58460	-139.26080	-0.39009	-0.02243	-0.00071	-0.87184	-0.67954	0.53836	0.00381	
8.68440	-106.82020	-0.40914	-0.01255	-0.00074	-0.80324	-0.53521	0.60795	-0.00646	
8.78420	-71.75786	-0.37411	0.00386	-0.00062	-0.77283	-0.33646	0.60622	-0.00833	
8.88400	-34.94516	-0.36325	0.00216	-0.00078	-0.86639	0.00497	0.50332	0.00438	
8.98380	2.73027	-0.40107	-0.01308	-0.00078	-0.85946	0.46561	0.45481	-0.00001	
9.08360	40.33313	-0.39087	-0.01873	-0.00069	-0.81074	1.00125	0.49760	-0.00832	
9.28320	111.66950	-0.36435	-0.00467	-0.00075	-0.87135	2.16068	0.45052	-0.00401	
9.38320	143.64840	-0.36115	-0.01384	-0.00071	-0.90381	2.70460	0.45544	0.00285	
9.48300	172.11140	-0.36399	-0.01426	-0.00042	-0.78767	3.18579	0.50762	-0.00010	
9.58280	196.34780	-0.33766	0.00512	-0.00052	-0.74093	3.62316	0.54615	-0.00948	
9.68260	215.76100	-0.31524	0.01121	-0.00046	-0.82607	3.99914	0.50424	-0.01333	
9.78240	229.88030	-0.36447	-0.00912	-0.00052	-0.93500	4.26263	0.49609	-0.00108	
9.88220	238.37100	-0.41966	-0.02254	-0.00015	-0.90329	4.35228	0.50624	0.00294	
9.98200	241.04620	-0.36694	-0.01039	-0.00043	-0.79304	4.26509	0.59558	-0.00783	
10.08180	237.65270	-0.28965	0.00506	-0.00057	-0.80290	3.95662	0.58245	-0.00699	
10.28140	213.87850	-0.37418	-0.01455	-0.00058	-0.86953	2.89002	0.47915	-0.00153	
10.38120	193.90660	-0.37016	-0.01857	-0.00040	-0.81898	2.22651	0.56482	-0.00892	
10.48100	169.17390	-0.36523	-0.00862	-0.00050	-0.85343	1.60944	0.54639	-0.01032	
10.58100	140.29630	-0.34376	-0.00516	-0.00046	-0.90067	1.05792	0.48434	-0.00362	
10.68080	107.97050	-0.38720	-0.01466	-0.00056	-0.86431	0.54838	0.52659	0.00267	
10.78060	72.99106	-0.36218	-0.01284	-0.00060	-0.80341	0.09191	0.60057	-0.00104	
10.88040	36.22488	-0.32789	0.00682	-0.00062	-0.76341	-0.26519	0.60403	-0.01062	
10.98020	-1.42876	-0.31809	0.01001	-0.00044	-0.84343	-0.52155	0.51696	-0.01184	
11.08000	-39.05173	-0.36247	-0.01179	-0.00064	-0.92547	-0.71366	0.47310	0.00066	
11.27960	-110.52280	-0.32975	-0.00819	-0.00060	-0.73812	-1.08633	0.57574	-0.00842	
11.37940	-142.62030	-0.32620	0.00567	-0.00051	-0.79785	-1.20134	0.53634	-0.00575	
11.47920	-171.21410	-0.30586	-0.00105	-0.00055	-0.89816	-1.26338	0.47217	0.00514	
11.57900	-195.61730	-0.35742	-0.01588	-0.00042	-0.86456	-1.35581	0.48836	-0.00287	
11.67900	-215.21190	-0.33591	-0.01789	-0.00077	-0.80689	-1.42672	0.54387	-0.00915	
11.77880	-229.54090	-0.31825	-0.00778	-0.00076	-0.85244	-1.44752	0.50646	-0.01008	
11.87860	-238.22700	-0.32147	-0.00601	-0.00081	-0.91475	-1.44078	0.50030	-0.00213	
11.97840	-241.15120	-0.37312	-0.01543	-0.00089	-0.88598	-1.44098	0.52367	0.00329	
12.07820	-237.92530	-0.33603	-0.01089	-0.00067	-0.82714	-1.40235	0.58581	-0.00215	
12.27780	-214.57720	-0.27742	0.00840	-0.00075	-0.89874	-1.16607	0.54525	-0.01118	
12.37760	-194.79010	-0.33353	-0.01384	-0.00082	-0.96716	-1.00721	0.55120	0.00219	
12.47740	-170.22410	-0.32575	-0.02134	-0.00058	-0.95158	-0.87644	0.55499	0.00166	
12.57720	-141.47530	-0.30412	-0.00638	-0.00051	-0.84492	-0.75014	0.60794	-0.00897	
12.67700	-109.25910	-0.25945	0.00582	-0.00057	-0.85332	-0.55585	0.58258	-0.00359	
12.77700	-74.37083	-0.25172	-0.00253	-0.00041	-0.95792	-0.32045	0.53393	0.00506	
12.87680	-37.65284	-0.28337	-0.01695	-0.00055	-0.87753	-0.05941	0.54615	-0.00361	
12.97660	-0.00878	-0.30236	-0.01695	-0.00080	-0.83280	0.35886	0.60536	-0.00953	
13.07640	37.62388	-0.30742	-0.00685	-0.00087	-0.89736	0.91003	0.59397	-0.00943	
13.27600	109.24100	-0.32512	-0.01636	-0.00076	-0.84577	2.01469	0.57450	0.00297	
13.37580	141.44490	-0.31322	-0.00913	-0.00087	-0.80774	2.52961	0.62447	-0.00255	
13.47560	170.19080	-0.27810	0.01015	-0.00080	-0.81771	3.03579	0.58160	-0.01158	
13.57540	194.75880	-0.29499	0.00650	-0.00081	-0.86086	3.50719	0.55918	-0.00991	
13.67520	214.53970	-0.34784	-0.01620	-0.00086	-0.94413	3.89211	0.51889	0.00275	
13.77500	229.05860	-0.36352	-0.02107	-0.00086	-0.88874	4.11669	0.55553	-0.00001	
13.87480	237.96730	-0.33000	-0.00462	-0.00089	-0.83391	4.19483	0.59039	-0.00965	
13.97480	241.07260	-0.30443	0.00598	-0.00040	-0.89767	4.19284	0.55471	-0.00236	
14.07460	238.12460	-0.28787	-0.00402	-0.00071	-0.96452	3.95176	0.48555	0.00474	
14.27420	215.16480	-0.30353	-0.01614	-0.00057	-0.85566	2.86108	0.58734	-0.01004	
14.37400	195.56380	-0.30403	-0.00563	-0.00061	-0.91433	2.24310	0.53484	-0.00866	
14.47380	171.15750	-0.28916	-0.00744	-0.00058	-0.96241	1.63848	0.51927	-0.00087	
14.57360	142.55250	-0.33470	-0.01669	-0.00053	-0.89858	1.05130	0.55642	0.00233	
14.67340	110.45900	-0.30676	-0.00725	-0.00057	-0.79624	0.52687	0.57735	-0.00384	
14.77320	75.64520	-0.25533	0.01123	-0.00056	-0.84708	0.10511	0.57512	-0.01260	
14.87300	38.97791	-0.23507	0.00463	-0.00069	-0.94204	-0.21645	0.52599	-0.00904	
14.97280	1.35628	-0.30171	-0.01744	-0.00055	-1.00789	-0.47789	0.50599	0.00286	
15.07260	-36.29927	-0.33493	-0.02005	-0.00056	-0.91362	-0.72629	0.53320	-0.00126	
15.27240	-108.03650	-0.28117	0.00603	-0.00098	-0.86372	-1.05853	0.51489	-0.00119	
15.37220	-140.36260	-0.32114	-0.00554	-0.00092	-0.88989	-1.15593	0.48327	0.00398	
15.47200	-169.23100	-0.30506	-0.01833	-0.00074	-0.83280	-1.27995	0.52088	-0.00564	
15.57180	-193.97050	-0.30388	-0.01502	-0.00061	-0.82261	-1.36512	0.55177	-0.01055	
15.67160	-213.93930	-0.27694	-0.00496	-0.00059	-0.87345	-1.40358	0.51177	-0.00881	
15.77140	-228.66000	-0.29547	-0.00798	-0.00056	-0.89708	-1.42736	0.51418	-0.00006	
15.87120	-237.77700	-0.36989	-0.01714	-0.00053	-0.79707	-1.46374	0.55644	0.00236	
15.97100	-240.96620	-0.30835	-0.00561	-0.00054	-0.78522	-1.47622	0.61427	-0.00455	
16.07080	-237.93130	-0.26918	0.01212	-0.00056	-0.83418	-1.40347	0.57751	-0.01258	
16.27040	-215.46010	-0.37841	-0.01889	-0.00063	-0.94510	-1.15043	0.51350	0.00334	
16.37040	-196.07560	-0.36491	-0.01873	-0.00053	-0.88733	-1.05054	0.55324	-0.00214	
16.47020	-171.88320	-0.32341	-0.00118	-0.00046	-0.78838	-0.93524	0.56994	-0.01085	
16.57000	-143.47020	-0.27583	0.00547	-0.00064	-0.82367	-0.74196	0.54542	-0.00056	
16.66980	-111.52690	-0.32666	-0.00684	-0.00049	-0.89850	-0.54295	0.49019	0.00317	
16.76960	-76.85783	-0.37170	-0.01853	-0.00028	-0.80893	-0.36905	0.55313	-0.00633	
16.86940	-40.30533	-0.34728	-0.01410	-0.00064	-0.79687	-0.10991	0.58476	-0.01115	
16.96920	-2.75987	-0.31216	-0.00491	-0.00083	-0.86585	0.31302	0.52538	-0.00780	
17.06900	34.85013	-0.34567	-0.00895	-0.00085	-0.88915	0.84163	0.51708	0.00060	
17.26860	106.60970	-0.30843	-0.00372	-0.00071	-0.74914	1.87932	0.61678	-0.00560	
17.36840	138.98710	-0.28197	0.01255	-0.00056	-0.82978	2.42214	0.60943	-0.01351	
17.46820	167.95620	-0.30038	0.00106	-0.00066	-0.88100	2.95368	0.51980	-0.00663	
17.56820	192.81250	-0.37089	-0.01999	-0.00082	-0.87095	3.40820	0.52282	0.00379	
